payment_id,mismatch_type
pay_25b0dc11f5,timing_mismatch
pay_b0536de168,fee_miscalculation
pay_c5255f1508,unknown_adjustment
pay_8871e142a5,partial_settlement
pay_6f4f095a38,fee_miscalculation
pay_aee0d281e3,unaccounted_refund
pay_e5021fa3cd,unaccounted_refund
pay_57ab4ffb85,timing_mismatch
pay_4652e414ae,missing_settlement
pay_0d38ac8459,unaccounted_refund
pay_77e0b5897f,timing_mismatch
pay_06721d3868,unknown_adjustment
pay_590a6316e4,timing_mismatch
pay_1e05299ee1,unknown_adjustment
pay_908d36aaff,unaccounted_refund
pay_4be2ac69c6,unaccounted_refund
pay_65e36537a5,timing_mismatch
pay_d44956f529,timing_mismatch
pay_38e11f6264,unaccounted_refund
