payment_id,order_id,customer_id,amount,fee,tax,refund_amount,adjustment,settlement_id,settlement_amount,utr,currency,status,created_at,settled_at,payment_method,gstin,source,description
pay_e01c891b35,order_f876cb1fa3,cust_cac2c44cf7,65271,1305,235,0,0,setl_938010bdee,63731.0,setl_938010bdee,INR,captured,2026-08-06 19:34:37.956278,2026-08-08 19:34:37.956278,card,29AABCU9603R1ZX,razorpay,Razorpay capture pay_e01c891b35
pay_b0339b92e3,order_f63ba19e90,cust_0ad16dcc80,424712,8494,1529,0,0,setl_8e48d06292,414689.0,setl_8e48d06292,INR,captured,2026-01-12 23:18:28.956278,2026-01-14 23:18:28.956278,netbanking,29AABCU9603R1ZX,razorpay,Razorpay capture pay_b0339b92e3
pay_97d3eabdc4,order_761ad779f7,cust_ba7feaea43,326783,6536,1176,0,0,setl_de9bc2aa70,319071.0,setl_de9bc2aa70,INR,captured,2026-01-27 04:48:01.956278,2026-01-29 04:48:01.956278,wallet,29AABCU9603R1ZX,razorpay,Razorpay capture pay_97d3eabdc4
pay_49f15750f8,order_e01797a98f,cust_e8b783664b,239065,4781,861,0,0,setl_1cce6aad7d,233423.0,setl_1cce6aad7d,INR,captured,2026-01-31 07:15:39.956278,2026-02-02 07:15:39.956278,netbanking,29AABCU9603R1ZX,razorpay,Razorpay capture pay_49f15750f8
pay_c5f7ded7e3,order_22c9ee168c,cust_c0764d28a5,149126,2983,537,0,0,setl_40c6c4da0e,145606.0,setl_40c6c4da0e,INR,captured,2026-05-01 22:15:44.956278,2026-05-03 22:15:44.956278,card,29AABCU9603R1ZX,razorpay,Razorpay capture pay_c5f7ded7e3
pay_f7690a16bb,order_17e59300e8,cust_d4aac07945,190717,3814,687,0,0,setl_97039b0461,186216.0,setl_97039b0461,INR,captured,2026-03-06 18:10:30.956278,2026-03-08 18:10:30.956278,netbanking,29AABCU9603R1ZX,razorpay,Razorpay capture pay_f7690a16bb
pay_d8114ce313,order_04af2aa9a0,cust_413d623b04,474620,9492,1709,0,0,setl_a2a3204263,463419.0,setl_a2a3204263,INR,captured,2025-12-27 19:30:02.956278,2025-12-29 19:30:02.956278,upi,29AABCU9603R1ZX,razorpay,Razorpay capture pay_d8114ce313
pay_25b0dc11f5,order_63735fbee8,cust_3c452ede8f,257860,5157,928,0,0,setl_acd2b01df3,251775.0,setl_acd2b01df3,INR,captured,2026-02-23 21:34:38.956278,2026-03-04 21:34:38.956278,wallet,29AABCU9603R1ZX,razorpay,Razorpay capture pay_25b0dc11f5
pay_13f7591bff,order_8658e47363,cust_4f7f77f93c,158596,3172,571,0,0,setl_94394d9a53,154853.0,setl_94394d9a53,INR,captured,2026-01-23 00:43:42.956278,2026-01-25 00:43:42.956278,wallet,29AABCU9603R1ZX,razorpay,Razorpay capture pay_13f7591bff
pay_b0536de168,order_2cd5efda34,cust_623031916e,124580,1246,449,0,0,setl_49106319c2,122885.0,setl_49106319c2,INR,captured,2026-04-20 20:29:51.956278,2026-04-22 20:29:51.956278,wallet,29AABCU9603R1ZX,razorpay,Razorpay capture pay_b0536de168
pay_ff8d840eac,order_de4af913be,cust_cac34676bf,216889,4338,781,0,0,setl_4fddc3e6ed,211770.0,setl_4fddc3e6ed,INR,captured,2026-02-23 01:40:25.956278,2026-02-25 01:40:25.956278,netbanking,29AABCU9603R1ZX,razorpay,Razorpay capture pay_ff8d840eac
